year_half_created_at,store_name,tpv
2024-H1,G Coffee @ Alam Tun Hussein Onn,2053737.0
2024-H1,G Coffee @ Bandar Seri Mulia,2067969.0
2024-H1,G Coffee @ Damansara Saujana,2067700.5
2024-H1,G Coffee @ Kampung Changkat,2066550.0
2024-H1,G Coffee @ Kondominium Putra,2053099.0
2024-H1,G Coffee @ PJS8,2062318.0
2024-H1,G Coffee @ Seksyen 21,2061336.5
2024-H1,G Coffee @ Taman Damansara,2077565.0
2024-H1,G Coffee @ USJ 57W,2055832.0
2024-H1,G Coffee @ USJ 89q,2058314.0
2025-H1,G Coffee @ Alam Tun Hussein Onn,2070212.5
2025-H1,G Coffee @ Bandar Seri Mulia,2065887.5
2025-H1,G Coffee @ Damansara Saujana,2062330.5
2025-H1,G Coffee @ Kampung Changkat,2076358.5
2025-H1,G Coffee @ Kondominium Putra,2073276.0
2025-H1,G Coffee @ PJS8,2053659.0
2025-H1,G Coffee @ Seksyen 21,2055899.0
2025-H1,G Coffee @ Taman Damansara,2071656.0
2025-H1,G Coffee @ USJ 57W,2068555.0
2025-H1,G Coffee @ USJ 89q,2049219.0
